date|stake|user|outcome|dice11|dice12|dice21|dice22
2021-05-28 15:31:00|1|The Emerald Derp Leader|L|2|2|2|5
2021-05-28 15:49:00|5|Benjaniniooo|L|2|4|5|3
2021-05-29 12:53:00|100|Benjaniniooo|W|6|2|1|3
2021-05-29 14:13:00|100|Benjaniniooo|W|4|5|5|3
2021-05-29 17:06:00|50|The Emerald Derp Leader|L|3|2|6|1
2021-05-29 17:06:00|20|swr|W|5|6|1|6
2021-05-29 18:40:00|150|Benjaniniooo|L|4|1|5|5
2021-05-29 21:25:00|200|Benjaniniooo|L|5|1|6|4
2021-05-29 21:40:00|50|Cefqrn|W|4|6|5|3
2021-05-30 09:35:00|30|bag|L|1|3|5|3
2021-05-30 09:39:00|6|Cefqrn|L|1|3|5|6
2021-05-30 14:08:00|210|Benjaniniooo|W|3|4|2|3
2021-05-30 14:13:00|10|swr|L|2|2|5|1
2021-05-30 14:14:00|10|qookie|L|2|1|3|6
2021-05-30 15:47:00|240|Benjaniniooo|L|5|1|2|5
2021-05-30 16:56:00|240|Benjaniniooo|D|1|5|1|5
2021-05-30 18:02:00|50|bag|L|2|2|2|5
2021-05-30 18:14:00|240|Benjaniniooo|D|3|2|1|4
2021-05-30 19:49:00|240|Benjaniniooo|W|6|4|1|5
2021-05-30 19:52:00|1|Cefqrn|L|2|3|6|6
2021-05-30 19:52:00|3|Binkiklou|W|2|5|3|3
2021-05-30 21:00:00|240|Benjaniniooo|W|1|4|1|3
2021-05-30 22:01:00|240|Benjaniniooo|W|6|2|4|2
2021-05-31 00:35:00|16|Cefqrn|L|3|3|5|2
2021-05-31 00:37:00|240|Hopson|L|4|1|5|3
2021-05-31 06:12:00|240|Cefqrn|L|2|3|3|6
2021-05-31 17:31:00|240|Benjaniniooo|L|3|2|4|6
2021-05-31 18:32:00|240|Benjaniniooo|W|5|6|5|4
2021-05-31 20:46:00|240|Binkiklou|W|4|3|2|3
2021-05-31 21:28:00|115|Benjaniniooo|W|2|5|1|2
2021-05-31 22:37:00|221|Benjaniniooo|W|2|6|2|5
2021-06-01 15:20:00|240|Benjaniniooo|L|1|1|6|4
2021-06-01 18:30:00|100|swr|W|5|2|3|1
2021-06-01 19:57:00|100|WorldTeller|L|4|6|6|5
2021-06-01 21:12:00|10|Cefqrn|W|1|6|1|2
2021-06-02 18:19:00|240|Benjaniniooo|L|4|1|4|4
2021-06-03 01:12:00|240|bag|W|6|4|3|4
2021-06-03 01:12:00|50|WorldTeller|W|5|2|3|2
2021-06-03 01:15:00|10|Ascended|L|1|3|4|1
2021-06-03 18:33:00|240|Benjaniniooo|D|4|6|5|5
2021-06-04 15:35:00|240|Benjaniniooo|W|6|4|1|1
2021-06-04 18:55:00|240|Benjaniniooo|W|4|2|1|3
2021-06-05 03:07:00|120|WorldTeller|W|6|5|1|4
